"NUMERO","CHIP"
1,6900001
2,6900002
3,6900003
4,6900004
5,6900005
6,6900006
7,6900007
8,6900008
9,6900009
10,6900010
11,6900011
12,6900012
13,6900013
14,6900014
15,6900015
16,6900016
17,6900017
18,6900018
19,6900019
20,6900020
21,6900021
22,6900022
23,6900023
24,6900024
25,6900025
26,6900026
27,6900027
28,6900028
29,6900029
30,6900030
31,6900031
32,6900032
33,6900033
34,6900034
35,6900035
36,6900036
37,6900037
38,6900038
39,6900039
40,6900040
41,6900041
42,6900042
43,6900043
44,6900044
45,6900045
46,6900046
47,6900047
48,6900048
49,6900049
50,6900050
51,6900051
52,6900052
53,6900053
54,6900054
55,6900055
56,6900056
57,6900057
58,6900058
59,6900059
60,6900060
61,6900061
62,6900062
63,6900063
64,6900064
65,6900065
66,6900066
67,6900067
68,6900068
69,6900069
70,6900070
71,6900071
72,6900072
73,6900073
74,6900074
75,6900075
76,6900076
77,6900077
78,6900078
79,6900079
80,6900080
81,6900081
82,6900082
83,6900083
84,6900084
85,6900085
86,6900086
87,6900087
88,6900088
89,6900089
90,6900090
91,6900091
92,6900092
93,6900093
94,6900094
95,6900095
96,6900096
97,6900097
98,6900098
99,6900099
100,6900100
101,6900101
102,6900102
103,6900103
104,6900104
105,6900105
106,6900106
107,6900107
108,6900108
109,6900109
110,6900110
111,6900111
112,6900112
113,6900113
114,6900114
115,6900115
116,6900116
117,6900117
118,6900118
119,6900119
120,6900120
121,6900121
122,6900122
123,6900123
124,6900124
125,6900125
126,6900126
127,6900127
128,6900128
129,6900129
130,6900130
131,6900131
132,6900132
133,6900133
134,6900134
135,6900135
136,6900136
137,6900137
138,6900138
139,6900139
140,6900140
141,6900141
142,6900142
143,6900143
144,6900144
145,6900145
146,6900146
147,6900147
148,6900148
149,6900149
150,6900150
151,6900151
152,6900152
153,6900153
154,6900154
155,6900155
156,6900156
157,6900157
158,6900158
159,6900159
160,6900160
161,6900161
162,6900162
163,6900163
164,6900164
165,6900165
166,6900166
167,6900167
168,6900168
169,6900169
170,6900170
171,6900171
172,6900172
173,6900173
174,6900174
175,6900175
176,6900176
177,6900177
178,6900178
179,6900179
180,6900180
181,6900181
182,6900182
183,6900183
184,6900184
185,6900185
186,6900186
187,6900187
188,6900188
189,6900189
190,6900190
191,6900191
192,6900192
193,6900193
194,6900194
195,6900195
196,6900196
197,6900197
198,6900198
199,6900199
200,6900200
201,6900201
202,6900202
203,6900203
204,6900204
205,6900205
206,6900206
207,6900207
208,6900208
209,6900209
210,6900210
211,6900211
212,6900212
213,6900213
214,6900214
215,6900215
216,6900216
217,6900217
218,6900218
219,6900219
220,6900220
221,6900221
222,6900222
223,6900223
224,6900224
225,6900225
226,6900226
227,6900227
228,6900228
229,6900229
230,6900230
231,6900231
232,6900232
233,6900233
234,6900234
235,6900235
236,6900236
237,6900237
238,6900238
239,6900239
240,6900240
241,6900241
242,6900242
243,6900243
244,6900244
245,6900245
246,6900246
247,6900247
248,6900248
