"chip","time","a","b","c"
"6900053",11:58:50.83,0,4,"12FB819092853"
"6900457",12:02:47.72,0,"0F","12FB919092863"
"6900368",12:05:24.15,0,9,"12FBA1909285C"
"6900503",12:05:24.20,0,8,"12FBB1909285A"
"6900203",12:05:26.47,0,7,"12FBC19092856"
"6900413",12:07:18.90,0,"0F","12FBD19092868"
"6900501",12:07:19.25,0,"0A","12FBE19092861"
"6900432",12:07:20.56,0,"0E","12FBF19092866"
"6900128",12:07:21.35,0,7,"12FC019092846"
"6900096",12:07:20.98,0,"0F","12FC119092863"
"6900058",12:07:25.48,0,"0F","12FC21909285F"
"6900204",12:07:25.99,0,2,"12FC31909284B"
"6900278",12:10:08.53,0,2,"12FC419092847"
"6900448",12:10:14.30,0,"0F","12FC519092861"
"6900277",12:10:16.52,0,9,"12FC61909284C"
"6900245",12:10:18.30,0,"0F","12FC719092853"
"6900486",12:10:20.39,0,5,"12FC81909284E"
"6901028",12:11:30.99,0,9,"12FC919092855"
"6901902",12:11:40.32,0,3,"12FCA19092848"
"6903450",12:11:41.93,0,6,"12FCB1909285A"
"6900992",12:13:11.94,0,7,"12FCC19092862"
"6900264",12:13:12.26,0,"0E","12FCD19092866"
"6900242",12:13:12.16,0,"0F","12FCE19092863"
"6900243",12:13:13.88,0,2,"12FCF19092856"
"6900318",12:13:14.59,0,"0F","12FD01909285C"
"6901164",12:18:17.12,0,"0C","12FD219092857"
"6900053",11:58:50.83,0,4,"12FB819092853"
"6900457",12:02:47.72,0,"0F","12FB919092863"
"6900368",12:05:24.15,0,9,"12FBA1909285C"
"6900503",12:05:24.20,0,8,"12FBB1909285A"
"6900203",12:05:26.47,0,7,"12FBC19092856"
"6900413",12:07:18.90,0,"0F","12FBD19092868"
"6900501",12:07:19.25,0,"0A","12FBE19092861"
"6900432",12:07:20.56,0,"0E","12FBF19092866"
"6900096",12:07:20.98,0,"0F","12FC119092863"
"6900128",12:07:21.35,0,7,"12FC019092846"
"6900058",12:07:25.48,0,"0F","12FC21909285F"
"6900204",12:07:25.99,0,2,"12FC31909284B"
"6900278",12:10:08.53,0,2,"12FC419092847"
"6900448",12:10:14.30,0,"0F","12FC519092861"
"6900277",12:10:16.52,0,9,"12FC61909284C"
"6900245",12:10:18.30,0,"0F","12FC719092853"
"6900486",12:10:20.39,0,5,"12FC81909284E"
"6901028",12:11:30.99,0,9,"12FC919092855"
"6901902",12:11:40.32,0,3,"12FCA19092848"
"6903450",12:11:41.93,0,6,"12FCB1909285A"
"6900992",12:13:11.94,0,7,"12FCC19092862"
"6900242",12:13:12.16,0,"0F","12FCE19092863"
"6900264",12:13:12.26,0,"0E","12FCD19092866"
"6900243",12:13:13.88,0,2,"12FCF19092856"
"6900318",12:13:14.59,0,"0F","12FD01909285C"
"5200131",12:17:08.96,0,3,"12FD119092846"
"6901164",12:18:17.12,0,"0C","12FD219092857"
"6900098",12:19:14.90,0,"0F","12FD319092863"
"6900439",12:21:00.90,0,"0B","12FD419092852"
"6900042",12:21:01.24,0,7,"12FD519092842"
"6900110",12:21:02.36,0,7,"12FD61909283F"
"6900592",12:21:04.81,0,"0C","12FD71909285E"
"6900104",12:21:07.90,0,4,"12FD919092845"
"6900553",12:21:23.00,0,"0F","12FDA1909285E"
"6900412",12:21:23.42,0,1,"12FDB19092848"
"6900989",12:21:24.35,0,"0F","12FDC19092874"
"6900506",12:21:25.43,0,"0F","12FDD19092869"
"6900918",12:21:25.93,0,5,"12FDE19092866"
"6900544",12:21:26.02,0,1,"12FDF19092853"
"6902538",12:21:26.81,0,1,"12FE01909284C"
"6900499",12:21:28.89,0,"0E","12FE119092870"
"6902537",12:21:31.49,0,"0B","12FE21909285E"
"6900367",12:24:09.14,0,"0A","12FE319092859"
"6900415",12:24:09.03,0,"0F","12FE41909285C"
"6900150",12:24:38.66,0,"0F","12FE519092862"
"6902031",12:24:39.70,0,"0F","12FE61909285C"
"6900262",12:24:57.17,0,"0B","12FE719092860"
"6900922",12:25:33.97,0,"0F","12FE819092867"
"6900290",12:25:35.05,0,2,"12FE91909284F"
"6900359",12:25:35.71,0,"0F","12FEA19092872"
"6900205",12:25:42.85,0,"0F","12FEB1909286A"
"6900497",12:25:43.08,0,"0F","12FEC1909287A"
"6900545",12:25:47.18,0,"0F","12FEE19092876"
"6900319",12:25:48.48,0,"0F","12FF019092864"
"6900395",12:25:55.32,0,"0F","12FF119092864"
"6900364",12:26:04.58,0,"0F","12FF219092861"
"6902463",12:26:05.08,0,"0F","12FF31909285F"
"6900525",12:26:15.69,0,"0A","12FF419092866"
"6900971",12:26:24.02,0,"0F","12FF519092862"
"6900487",12:27:19.09,0,"0F","12FF619092872"
"6900281",12:27:58.35,0,4,"12FF719092859"
"6902464",12:27:58.69,0,"0F","12FF819092875"
"6903663",12:27:59.94,0,"0F","12FF91909287B"
"6900400",12:28:02.71,0,"0F","12FFA19092865"
"6900083",12:29:05.88,0,7,"12FFB19092867"
"6900547",12:29:42.51,0,"0B","12FFC1909286F"
"6900556",12:29:42.15,0,"0F","12FFD19092875"
"6900266",12:29:42.66,0,4,"12FFE1909286C"
"6901047",12:29:42.72,0,"0A","12FFF19092871"
"6900591",12:29:43.25,0,"0F",1300019092837
"6901025",12:29:43.99,0,4,"130011909282A"
"6900320",12:29:44.45,0,"0D",1300219092830
"6900101",12:29:44.71,0,5,1300319092821
"6900241",12:29:46.27,0,2,1300419092826
"6900983",12:29:48.61,0,"0F","130051909284A"
"6900999",12:31:02.48,0,"0F",1300619092842
"6900396",12:31:36.73,0,"0F","130071909283F"
"6900071",12:32:26.80,0,"0F","130081909283F"
"6903642",12:32:26.65,0,"0F","130091909283F"
"6902269",12:32:33.08,0,"0A","1300A1909283F"
"6901048",12:32:33.39,0,"0E","1300B19092845"
"6900263",12:32:34.56,0,"0F","1300C19092843"
"6900312",12:32:34.66,0,"0E","1300D19092843"
"6900249",12:33:03.43,0,"0F","1.79769313486232E+308"
"6900325",12:33:55.94,0,"0F","1300F1909284A"
"6900504",12:33:58.85,0,"0E","130101909283B"
"6900663",12:34:02.17,0,"0F",1301119092832
"6903676",12:34:23.39,0,2,1301219092828
"6903256",12:35:04.67,0,"0F","130131909283D"
"6900066",12:35:17.59,0,"0B","130141909283C"
"6901901",12:35:18.03,0,"0C",1301519092830
"6900386",12:35:54.95,0,"0F",1301619092845
"6900902",12:36:06.65,0,6,"130171909282A"
"6901023",12:36:06.74,0,6,1301819092824
"6900577",12:36:40.51,0,7,"130191909282F"
"6900990",12:36:41.43,0,"0F","1301A1909284A"
"6900449",12:37:24.27,0,"0F","1301B1909284C"
"6900059",12:37:26.27,0,4,"1301C1909283A"
"6900349",12:37:26.00,0,"0F","1301D19092846"
"6900485",12:37:29.36,0,"0F","1.79769313486232E+308"
"6900121",12:37:37.77,0,2,"1301F19092834"
"6902737",12:37:37.89,0,2,1302019092832
"6900560",12:37:46.67,0,"0F","130211909283F"
"6900317",12:37:47.99,0,"0F",1302219092845
"6902764",12:37:52.72,0,"0F","130231909283F"
"6901181",12:37:59.70,0,"0F",1302419092848
"6900041",12:38:00.12,0,"0F","130251909282A"
"6900914",12:38:31.88,0,5,1302619092833
"6900108",12:38:36.43,0,"0F","130271909283E"
"6900028",12:38:47.36,0,"0F",1302819092842
"6900954",12:39:02.68,0,"0F","130291909284C"
"6900975",12:39:19.19,0,"0F","1302A1909285B"
"6900411",12:39:21.39,0,8,"1302B19092837"
"6901337",12:39:21.43,0,"0F","1302C19092847"
"6900329",12:39:23.34,0,"0F","1302D1909284A"
"6900552",12:39:34.10,0,"0F","1.79769313486232E+308"
"6900492",12:39:36.60,0,6,"1302F1909284B"
"6901085",12:39:36.81,0,8,1303019092834
