"chip","time","a","b","c"
6900582,09:47:43.14,0,1,"1DB9419092853"
6900202,09:47:44.03,0,2,"1DB951909284B"
6900002,09:47:42.90,0,"0F","1DB9619092863"
6900582,09:47:45.52,0,4,"1DB9719092860"
6900202,09:47:45.85,0,1,"1DB981909285D"
6900396,09:47:44.53,0,"0F","1DB9919092877"
6900500,09:47:42.67,0,"0F","1DB9A19092877"
6900583,09:47:42.39,0,"0F","1DB9B19092880"
6900584,09:47:42.61,0,"0F","1DB9C19092879"
6900644,09:47:43.17,0,"0F","1DB9D1909287E"
6900001,09:47:43.08,0,"0F","1DB9E1909286E"
6900116,09:47:42.46,0,"0F","1DB9F19092879"
6900201,09:47:47.55,0,1,"1DBA019092859"
6900002,09:47:48.38,0,2,"1DBA11909285E"
6900202,09:47:48.00,0,4,"1DBA219092853"
6900201,09:47:49.69,0,2,"1DBA319092866"
6900202,09:47:49.76,0,2,"1DBA419092861"
6900582,09:47:49.24,0,"0E","1DBA51909287A"
6900396,09:47:48.32,0,"0F","1DBA619092881"
6900583,09:47:50.50,0,"0F","1DBA719092874"
6900202,09:47:51.10,0,"0B","1DBA819092870"
6900644,09:47:52.73,0,"0F","1DBA91909287A"
6900001,09:47:48.80,0,"0F","1DBAA19092879"
6900116,09:47:48.59,0,"0F","1DBAB19092889"
6900582,09:47:52.96,0,"0A","1DBAC19092887"
6900500,09:47:50.55,0,"0F","1DBAD1909287C"
6900202,09:47:53.68,0,4,"1DBAE19092873"
6900582,09:47:54.77,0,2,"2DBAF1909287A"
6900002,09:47:55.29,0,2,"2DBB019092858"
6900202,09:47:55.46,0,6,"2DBB119092862"
6900002,09:47:56.58,0,2,"2DBB219092860"
6900584,09:47:56.14,0,"0F","2DBB31909287B"
6900582,09:47:57.51,0,2,"2DBB419092864"
6900583,09:47:58.17,0,"0F","2DBB51909287C"
6900202,09:47:57.83,0,4,"2DBB619092863"
6900396,09:47:54.83,0,"0F","2DBB719092880"
6900644,09:47:57.71,0,"0F","2DBB81909287D"
6900001,09:47:55.85,0,"0F","2DBB919092874"
6900116,09:47:56.23,0,"0F","2DBBA1909287F"
6900582,09:47:59.46,0,2,"2DBBB19092879"
6900002,09:47:59.64,0,"0F","2DBBC19092881"
6900500,09:47:56.00,0,"0F","2DBBD19092879"
6900002,09:48:01.69,0,9,"2DBBE19092873"
6900201,09:48:02.62,0,8,"2DBBF19092870"
6900583,09:48:03.21,0,"0F","2DBC01909286A"
6900001,09:48:03.42,0,"0F","2DBC119092863"
6900116,09:48:04.99,0,"0F","2DBC219092875"
6900202,09:48:01.31,0,"0F","2DBC319092868"
6900500,09:48:01.31,0,"0F","2DBC419092866"
6900584,09:48:03.36,0,"0F","2DBC51909287A"
6900002,09:48:04.37,0,"0C","2DBC61909286F"
6900644,09:48:06.05,0,"0F","2DBC719092874"
6900396,09:48:03.20,0,"0F","2DBC819092876"
6900582,09:48:06.45,0,4,"3DBC91909286D"
6900202,09:48:08.03,0,2,"3DBCA19092867"
6900581,09:48:06.81,0,"0F","1DBCB19092889"
6900201,09:48:07.96,0,7,"2DBCC19092875"
6900202,09:48:10.09,0,2,"3DBCD19092865"
6900002,09:48:10.92,0,2,"3DBCE1909286C"
6900001,09:48:07.41,0,"0F","3DBCF1909287D"
6900116,09:48:07.42,0,"0F","3DBD019092870"
6900500,09:48:08.02,0,"0F","3DBD119092868"
6900644,09:48:09.40,0,"0F","3DBD219092881"
6900583,09:48:10.21,0,"0F","3DBD31909286D"
6900584,09:48:09.83,0,"0F","3DBD419092884"
6900202,09:48:12.23,0,"0A","3DBD519092869"
6900396,09:48:09.44,0,"0F","3DBD619092883"
6900581,09:48:12.42,0,"0F","1DBD719092877"
6900582,09:48:13.73,0,1,"3DBD81909286A"
6900202,09:48:15.34,0,"0A","3DBD919092871"
6900001,09:48:14.51,0,"0F","3DBDA19092877"
6900116,09:48:15.12,0,"0F","3DBDB1909287A"
6900500,09:48:15.53,0,"0F","3DBDC19092880"
6900582,09:48:17.45,0,6,"4DBDD1909287F"
6900002,09:48:18.22,0,"0F","3DBDE1909287E"
6900583,09:48:18.57,0,"0F","3DBDF19092895"
6900582,09:48:18.92,0,2,"4DBE01909286D"
6900396,09:48:15.46,0,"0F","3DBE11909287C"
6900584,09:48:15.88,0,"0F","3DBE219092886"
6900644,09:48:16.05,0,"0F","3DBE31909287C"
6900202,09:48:20.31,0,"0F","4DBE41909286A"
6900396,09:48:24.96,0,"0F","4DBE519092888"
6900002,09:48:25.49,0,9,"4DBE619092867"
6900644,09:48:25.29,0,"0F","4DBE719092881"
6900201,09:48:24.74,0,"0F","3DBE81909287A"
6900583,09:48:27.27,0,"0F","4DBE91909288B"
6900584,09:48:22.66,0,"0F","4DBEA1909288E"
6900582,09:48:26.80,0,2,"4DBEB19092875"
6900116,09:48:25.45,0,"0F","4DBEC1909288B"
6900500,09:48:24.57,0,"0F","4DBED19092884"
6900001,09:48:25.44,0,"0F","4DBEE19092885"
6900202,09:48:24.20,0,"0F","4DBEF1909288A"
6900582,09:48:30.57,0,2,"5DBF01909286B"
6900202,09:48:29.90,0,6,"4DBF119092873"
6900396,09:48:31.84,0,"0F","4DBF21909287D"
6900644,09:48:30.76,0,"0F","4DBF31909287E"
6900002,09:48:28.86,0,"0F","4DBF419092878"
6900201,09:48:30.41,0,"0F","3DBF51909286F"
6900582,09:48:32.23,0,4,"5DBF61909286C"
6900116,09:48:29.45,0,"0F","4DBF719092882"
6900500,09:48:28.63,0,"0F","4DBF81909287A"
6900584,09:48:32.00,0,"0F","4DBF91909288E"
6900001,09:48:29.44,0,"0F","4DBFA1909287E"
6900583,09:48:34.10,0,"0F","4DBFB19092893"
6900202,09:48:33.58,0,"0F","5DBFC1909288C"
6900002,09:48:32.95,0,"0F","4DBFD19092886"
6900644,09:48:36.09,0,"0F","5DBFE1909288F"
6900396,09:48:34.31,0,"0F","4DBFF1909288C"
6900500,09:48:35.05,0,"0F","5DC001909285B"
6900001,09:48:39.35,0,"0F","5DC011909285B"
6900202,09:48:38.71,0,9,"5DC0219092857"
6900116,09:48:37.87,0,"0F","5DC031909286D"
6900201,09:48:42.29,0,"0F","4DC041909285D"
6900396,09:48:41.42,0,"0F","5DC0519092869"
6900583,09:48:39.44,0,"0F","5DC0619092876"
6900584,09:48:39.67,0,"0F","5DC071909287B"
6900644,09:48:39.39,0,"0F","5DC0819092873"
6900582,09:48:44.30,0,2,"6DC0919092859"
6900002,09:48:40.63,0,"0F","5DC0A19092865"
6900500,09:48:44.59,0,"0F","5DC0B19092876"
6900583,09:48:45.00,0,5,"5DC0C1909287A"
6900001,09:48:44.45,0,"0F","5DC0D19092873"
6900116,09:48:41.94,0,"0F","5DC0E19092878"
6900202,09:48:43.71,0,"0F","6DC0F19092872"
6900002,09:48:46.55,0,"0F","5DC101909285C"
6900500,09:48:46.56,0,"0F","6DC111909286A"
6900396,09:48:48.28,0,"0F","5DC1219092876"
6900201,09:48:47.28,0,"0F","4DC1319092868"
6900583,09:48:50.95,0,"0F","6DC1419092874"
6900584,09:48:47.65,0,"0F","5DC1519092878"
6900644,09:48:48.04,0,"0F","6DC161909286C"
6900202,09:48:47.79,0,"0F","6DC171909286D"
6900001,09:48:50.65,0,"0F","6DC1819092864"
